CreateMeshBuilder
AddVertex,-0,0,0
AddVertex,-0,0.07,0
AddVertex,-0.05,0.07,0.1
AddVertex,-0.05,0,0.1
AddFace2,0,1,2,3
LoadTexture,off_1.png
SetTextureCoordinates,0,0,1
SetTextureCoordinates,1,0,0
SetTextureCoordinates,2,1,0
SetTextureCoordinates,3,1,1
SetEmissiveColor,255,255,255

CreateMeshBuilder
AddVertex,-0.05,0,0.1
AddVertex,-0.05,0.07,0.1
AddVertex,-0.07,0.07,0.2
AddVertex,-0.07,0,0.2
AddFace2,0,1,2,3
LoadTexture,off_2.png
SetTextureCoordinates,0,0,1
SetTextureCoordinates,1,0,0
SetTextureCoordinates,2,1,0
SetTextureCoordinates,3,1,1
SetEmissiveColor,255,255,255

CreateMeshBuilder
AddVertex,-0.07,0,0.2
AddVertex,-0.07,0.07,0.2
AddVertex,-0.05,0.07,0.3
AddVertex,-0.05,0,0.3
AddFace2,0,1,2,3
LoadTexture,off_2.png
SetTextureCoordinates,0,0,1
SetTextureCoordinates,1,0,0
SetTextureCoordinates,2,1,0
SetTextureCoordinates,3,1,1
SetEmissiveColor,255,255,255

CreateMeshBuilder
AddVertex,-0.05,0,0.3
AddVertex,-0.05,0.07,0.3
AddVertex,-0.0,0.07,0.4
AddVertex,-0.0,0,0.4
AddFace2,0,1,2,3
LoadTexture,off_1.png
SetTextureCoordinates,3,0,1
SetTextureCoordinates,2,0,0
SetTextureCoordinates,1,1,0
SetTextureCoordinates,0,1,1
SetEmissiveColor,255,255,255

CreateMeshBuilder
AddVertex,-0,0.035,0
AddVertex,-0.05,0.035,0.1
AddVertex,-0.05,0.035,0.1
AddVertex,-0.07,0.035,0.2
AddVertex,-0.07,0.035,0.2
AddVertex,-0.05,0.035,0.3
AddVertex,-0.05,0.035,0.3
AddVertex,-0.0,0.05,0.4
AddFace2,0,1,2,3,4,5,6,7
SetColor,100,100,100
